"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 31 14:55:36 GMT 2025","Thu Jul 31 14:55:37 GMT 2025","1589","LMS System","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Jul 31 14:55:34 GMT 2025","Thu Jul 31 14:55:35 GMT 2025","1605","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Jul 31 14:55:34 GMT 2025","Thu Jul 31 14:55:36 GMT 2025","1898","LMS System","Authentication","Authorization","","","Navigate from authorization to registration page",""
"passed","Thu Jul 31 14:55:29 GMT 2025","Thu Jul 31 14:55:32 GMT 2025","2148","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Jul 31 14:55:42 GMT 2025","Thu Jul 31 14:55:44 GMT 2025","1792","LMS System","Dashboard","Dashboard","","","Dashboard displaying with all components",""
"passed","Thu Jul 31 14:55:32 GMT 2025","Thu Jul 31 14:55:34 GMT 2025","1741","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Jul 31 14:55:40 GMT 2025","Thu Jul 31 14:55:43 GMT 2025","3526","LMS System","Courses","Courses","","","Edit existing course and save changes",""
"passed","Thu Jul 31 14:55:29 GMT 2025","Thu Jul 31 14:55:33 GMT 2025","3757","LMS System","Authentication","Authorization","","","User login with correct credentials",""
"passed","Thu Jul 31 14:55:39 GMT 2025","Thu Jul 31 14:55:42 GMT 2025","3028","LMS System","Courses","Courses","","","Create new course with all required fields",""
"passed","Thu Jul 31 14:55:38 GMT 2025","Thu Jul 31 14:55:39 GMT 2025","1471","LMS System","Courses","Courses","","","Empty courses list displaying",""
